v,b,e,r_E,p_branch,bob_basis_c,bob_p0,bob_p1,detector_acceptance,provisional_acceptance,fifth_x,fifth_y,fifth_z,victim_fidelity,victim_trace_distance
0,0,0,0,1.0,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
0,0,0,0,1.0,1,0.4999999999999999,0.4999999999999999,0.9999999999999998,0.9999999999999998,0.0,0.0,1.0,1.0,0.0
0,0,1,0,0.4999999999999999,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
0,0,1,0,0.4999999999999999,1,0.4999999999999999,0.4999999999999999,0.9999999999999998,0.9999999999999998,0.0,0.0,1.0,1.0,0.0
0,0,1,1,0.4999999999999999,0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0
0,0,1,1,0.4999999999999999,1,0.4999999999999999,0.4999999999999999,0.9999999999999998,0.9999999999999998,0.0,0.0,-1.0,1.0,0.0
0,1,0,0,0.5000000000000002,0,0.5000000000000001,0.5000000000000001,1.0000000000000002,1.0000000000000002,0.0,0.0,0.9999999999999998,1.0,2.220446049250313e-16
0,1,0,0,0.5000000000000002,1,1.0,0.0,1.0,1.0,0.0,0.0,0.9999999999999998,1.0,2.220446049250313e-16
0,1,0,1,0.5000000000000002,0,0.5000000000000001,0.5000000000000001,1.0000000000000002,1.0000000000000002,0.0,0.0,-0.9999999999999998,1.0,2.220446049250313e-16
0,1,0,1,0.5000000000000002,1,1.0,0.0,1.0,1.0,0.0,0.0,-0.9999999999999998,1.0,2.220446049250313e-16
0,1,1,0,1.0000000000000002,0,0.5000000000000001,0.5000000000000001,1.0000000000000002,1.0000000000000002,0.0,0.0,1.0000000000000002,1.0000000000000002,0.0
0,1,1,0,1.0000000000000002,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0000000000000002,1.0000000000000002,0.0
1,0,0,1,1.0,0,3.749399456654644e-33,1.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0
1,0,0,1,1.0,1,0.4999999999999999,0.4999999999999999,0.9999999999999998,0.9999999999999998,0.0,0.0,-1.0,1.0,0.0
1,0,1,0,0.4999999999999999,0,3.749399456654644e-33,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
1,0,1,0,0.4999999999999999,1,0.4999999999999999,0.4999999999999999,0.9999999999999998,0.9999999999999998,0.0,0.0,1.0,1.0,0.0
1,0,1,1,0.4999999999999999,0,3.749399456654644e-33,1.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0
1,0,1,1,0.4999999999999999,1,0.4999999999999999,0.4999999999999999,0.9999999999999998,0.9999999999999998,0.0,0.0,-1.0,1.0,0.0
1,1,0,0,0.5000000000000002,0,0.5000000000000001,0.5000000000000001,1.0000000000000002,1.0000000000000002,0.0,0.0,0.9999999999999998,1.0,2.220446049250313e-16
1,1,0,0,0.5000000000000002,1,3.749399456654644e-33,1.0,1.0,1.0,0.0,0.0,0.9999999999999998,1.0,2.220446049250313e-16
1,1,0,1,0.5000000000000002,0,0.5000000000000001,0.5000000000000001,1.0000000000000002,1.0000000000000002,0.0,0.0,-0.9999999999999998,1.0,2.220446049250313e-16
1,1,0,1,0.5000000000000002,1,3.749399456654644e-33,1.0,1.0,1.0,0.0,0.0,-0.9999999999999998,1.0,2.220446049250313e-16
1,1,1,1,1.0000000000000002,0,0.5000000000000001,0.5000000000000001,1.0000000000000002,1.0000000000000002,0.0,0.0,-1.0000000000000002,1.0000000000000002,0.0
1,1,1,1,1.0000000000000002,1,3.749399456654644e-33,1.0,1.0,1.0,0.0,0.0,-1.0000000000000002,1.0000000000000002,0.0
